"population","treatment","voc","trait","r","p","n","significance"
"Bon","Control","voc10","fitness1",0.0402920623722355,0.918028650580236,9,""
"Bon","Control","voc11","fitness1",-0.0509859408947018,0.896357040133643,9,""
"Bon","Control","voc12","fitness1",0.305569101982712,0.423924355821096,9,""
"Bon","Control","voc13","fitness1",0.222571859973999,0.564883544916614,9,""
"Bon","Control","voc14","fitness1",0.319188185629678,0.402461539807224,9,""
"Bon","Control","voc15","fitness1",0.277216006081251,0.470187293417711,9,""
"Bon","Control","voc16","fitness1",0.453731089726911,0.219921740236249,9,""
"Bon","Control","voc17","fitness1",0.271820823078263,0.479223068250989,9,""
"Bon","Control","total","fitness1",0.130055155507298,0.738759937574216,9,""
"Bon","Herbivore-induced","voc1","fitness1",0.282976565932154,0.460620090227837,9,""
"Bon","Herbivore-induced","voc2","fitness1",0.07234644737245,0.853258350958884,9,""
"Bon","Herbivore-induced","voc3","fitness1",0.175202064305985,0.652085545704833,9,""
"Bon","Herbivore-induced","voc4","fitness1",0.436410015988198,0.240241248932511,9,""
"Bon","Herbivore-induced","voc5","fitness1",-0.0876022821128744,0.822675446284287,9,""
"Bon","Herbivore-induced","voc6","fitness1",-0.0616658714216178,0.874772729426009,9,""
"Bon","Herbivore-induced","voc7","fitness1",0.0744154315416869,0.849099966328508,9,""
"Bon","Herbivore-induced","voc8","fitness1",0.152576378696514,0.695140870117562,9,""
"Bon","Herbivore-induced","voc9","fitness1",-0.484095676750674,0.186672262065343,9,""
"Bon","Herbivore-induced","voc10","fitness1",0.0236343748238091,0.951874853372458,9,""
"Bon","Herbivore-induced","voc11","fitness1",-0.167343954621309,0.666945483843544,9,""
"Bon","Herbivore-induced","voc12","fitness1",-0.283049996148475,0.460498678520528,9,""
"Bon","Herbivore-induced","voc13","fitness1",-0.0763974375986358,0.845119412778517,9,""
"Bon","Herbivore-induced","voc14","fitness1",-0.0154579750263986,0.968515541754327,9,""
"Bon","Herbivore-induced","voc15","fitness1",0.245984215847016,0.523470024587088,9,""
"Bon","Herbivore-induced","voc16","fitness1",0.306176764019788,0.422955984473121,9,""
"Bon","Herbivore-induced","voc17","fitness1",-0.0182018979485755,0.962929634079025,9,""
"Bon","Herbivore-induced","total","fitness1",0.0714382655123887,0.855084670050338,9,""
"Bon","Control","voc1","fitness2",-0.135775890604562,0.690590773683575,11,""
"Bon","Control","voc2","fitness2",0.341663358179753,0.303776181292215,11,""
"Bon","Control","voc3","fitness2",0.317872441893439,0.340793554178389,11,""
"Bon","Control","voc4","fitness2",-0.0931327859403489,0.785347339708408,11,""
"Bon","Control","voc5","fitness2",-0.296592741895566,0.3758080859609,11,""
"Bon","Control","voc6","fitness2",-0.0699265521995424,0.838121682323753,11,""
"Bon","Control","voc7","fitness2",0.315367361390671,0.344823256284795,11,""
"Bon","Control","voc8","fitness2",0.27853549240941,0.40688588056283,11,""
"Bon","Control","voc9","fitness2",-0.272153311808859,0.418161614140158,11,""
"Bon","Control","voc10","fitness2",0.439686944514864,0.175993875440052,11,""
"Bon","Control","voc11","fitness2",0.148083947406944,0.663906111519902,11,""
"Bon","Control","voc12","fitness2",-0.187486177051357,0.580927857231828,11,""
"Bon","Control","voc13","fitness2",0.151639046509048,0.65626167334164,11,""
"Bon","Control","voc14","fitness2",0.0879211100146357,0.797136637970338,11,""
"Bon","Control","voc15","fitness2",0.136615479559568,0.68876002618578,11,""
"Bon","Control","voc16","fitness2",-0.247379263661684,0.463323468978779,11,""
"Bon","Control","voc17","fitness2",0.131737779704497,0.699416642451575,11,""
"Bon","Control","total","fitness2",-0.0953288733517576,0.780391539764972,11,""
"Bon","Herbivore-induced","voc1","fitness2",0.37637345241049,0.253924431407596,11,""
"Bon","Herbivore-induced","voc2","fitness2",0.546141493804295,0.082187134191613,11,""
"Bon","Herbivore-induced","voc3","fitness2",0.421521822561925,0.196625589041946,11,""
"Bon","Herbivore-induced","voc4","fitness2",0.349675307310945,0.291827170059398,11,""
"Bon","Herbivore-induced","voc5","fitness2",-0.315041250247312,0.345349670406263,11,""
"Bon","Herbivore-induced","voc6","fitness2",0.409161209301827,0.21145880482373,11,""
"Bon","Herbivore-induced","voc7","fitness2",0.571301063037128,0.0663725336126092,11,""
"Bon","Herbivore-induced","voc8","fitness2",0.596091740694965,0.0529360782944649,11,""
"Bon","Herbivore-induced","voc9","fitness2",-0.248904659053969,0.460480293417496,11,""
"Bon","Herbivore-induced","voc10","fitness2",0.618075556385477,0.0426914530927941,11,"*"
"Bon","Herbivore-induced","voc11","fitness2",0.397710202519184,0.225775388197575,11,""
"Bon","Herbivore-induced","voc12","fitness2",-0.183806042319926,0.58850618183483,11,""
"Bon","Herbivore-induced","voc13","fitness2",0.42885989158547,0.188124136508486,11,""
"Bon","Herbivore-induced","voc14","fitness2",0.22418012966787,0.507531541360916,11,""
"Bon","Herbivore-induced","voc15","fitness2",0.388276385105153,0.237985149121032,11,""
"Bon","Herbivore-induced","voc16","fitness2",-0.127415210282385,0.708901345162338,11,""
"Bon","Herbivore-induced","voc17","fitness2",0.464568500612082,0.149972985830523,11,""
"Bon","Herbivore-induced","total","fitness2",0.235011599673771,0.486668307603601,11,""
"Bon","Control","voc1","flower_time",-0.204369209674527,0.546655612381862,11,""
"Bon","Control","voc2","flower_time",-0.0616415457256229,0.857119953741655,11,""
"Bon","Control","voc3","flower_time",-0.0414340027773387,0.903725928830441,11,""
"Bon","Control","voc4","flower_time",-0.461979532995039,0.152560740177067,11,""
"Bon","Control","voc5","flower_time",-0.469467376587673,0.145151975238741,11,""
"Bon","Control","voc6","flower_time",-0.592826046900523,0.0545890668986803,11,""
"Bon","Control","voc7","flower_time",0.0259814871000828,0.939557270816325,11,""
"Bon","Control","voc8","flower_time",-0.012346540049292,0.971259780320579,11,""
"Bon","Control","voc9","flower_time",-0.542677240711896,0.0845438884336506,11,""
