ID;population;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;(E)-2-Methyl-2-butenal;?-pinene;?-pinene;5-Methyl-2-heptanone;6-Methyl-5-heptene-2-one;butanoic acid, butyl ester;2-Ethyl-1-hexanol;acetophenone ;nonanal ;cis-2-nonenal;dodecane;decanal;tridecane;tetradecane;dodecanal;trans-geranylaceone;tetradecanal;Sum
C13o3;C;13;o;3;0;3;0;2.571366759;0.665196805;0.29657821;1.039248;0.597984157;0;0.646065864;0.323173247;0.878109155;0.199930681;1.084033698;0.632102547;0.940396796;1.025639105;5.209614105;0.356640933;1.645689082;18.11176915
C15o1;C;15;o;1;0;4;0;2.780644068;1.406744252;0.417236271;0.572162107;11.34540297;0.68393748;1.132055293;0.388477046;5.336926991;0.646592668;3.520688441;4.718837807;1.750323828;3.069402098;4.764127193;4.918624579;1.090791335;48.54297443
C15o2;C;15;o;2;0;3;0;2.605202552;0.624197436;0.232696645;1.286237163;7.353670418;0.153794359;0.956212404;0.558985291;7.788671297;0.271688967;1.377861299;3.968859771;1.277212693;1.215362751;5.122628805;3.790140119;1.887264147;40.47068612
C15o3;C;15;o;3;0;4;0;1.918255804;1.02723006;0.695587894;1.044127062;7.478803726;1.436209118;1.241935613;0.319260501;4.58567736;0.507792307;4.463903315;3.506509927;2.589872602;2.24520258;4.198708818;3.514936421;1.22287197;41.99688508
C19o2;C;19;o;2;0;4;0;4.356630221;1.537441275;0.778065516;0.76948305;2.228970828;1.518904852;1.124499001;0.505339018;8.832149961;0.486700372;3.476725118;6.785012416;1.832486445;2.062189871;6.828312342;6.080470737;1.12456715;50.32794817
C19o3;C;19;o;3;0;4;0;4.660734905;1.524875415;0.681953909;2.164308301;0.247931556;0.382010007;1.285539632;0.500187411;2.147775841;0.438935302;1.903496922;1.012789261;1.681546384;1.726537718;4.702596844;0.348411782;1.437727818;26.84735901
C26o1;C;26;o;1;0;3;0;5.217593626;1.744603164;0.784662071;3.0372758;4.982303326;0.4389197;1.808237351;0.989277325;3.929006398;0.908193941;0.51629092;2.317387935;4.097238394;2.996652967;7.250138953;1.757289431;1.214327733;43.98939904
C26o2;C;26;o;2;0;3;0;8.841304313;2.911864434;1.096208806;5.472284566;8.963282902;2.736021184;3.62574072;0.951883487;6.194419776;1.346301649;1.114309011;3.726325222;5.884383124;3.985766877;11.1859348;2.669860979;2.270954096;72.97684595
C26o3;C;26;o;3;0;4;0;2.449834311;1.7310037;0.380715797;1.490237375;0;0;1.066587284;0.573263161;1.270689422;0;3.027577845;1.022491232;1.873873265;0.993618789;4.949339175;0;1.091933396;21.92116475
C30o1;C;30;o;1;0;3;0;9.216340825;14.11749494;3.032968332;4.405432164;52.48614621;2.068559649;4.034032303;1.341623443;44.54695512;1.413375006;11.64444149;25.01193273;12.30383769;8.804820381;23.63832365;35.07498781;4.328153862;257.4694256
C30o2;C;30;o;2;0;4;0;8.167840524;7.030375945;1.87177098;4.257976289;20.47999693;2.964965168;2.215481756;0.796571059;32.62487188;1.056120408;3.46371823;13.87953762;3.35129106;3.415156182;8.870532264;9.807461893;2.187155722;126.4408239
C30o3;C;30;o;3;0;3;0;6.773241696;1.453552451;0.482988199;4.964273873;6.144033549;2.774048155;2.089660302;0.864550758;4.741323847;0.59772041;5.566815115;3.863421715;2.644244124;1.682461312;11.01229402;0.867902042;2.871880572;59.39441214
C34o1;C;34;o;1;0;3;0;4.346363646;0.904499515;0.650679986;2.173503445;7.502623031;1.335854482;1.226558323;0.811067211;8.611346234;0.411378183;4.589823108;6.803199182;2.715377161;2.611991608;4.668145561;3.794097914;1.555260439;54.71176903
C34o2;C;34;o;2;0;3;0;3.37203068;0.715557566;0.591498943;1.700703862;5.619062148;0.848685387;0.935827538;0.590621482;9.120536156;0.410777826;3.660761518;5.935446674;1.922684567;1.913114564;5.123347397;2.866939514;1.630982567;46.95857839
C34o3;C;34;o;3;0;4;0;4.091998129;0.801626442;0.446167214;1.642782994;7.988650723;0;1.107327282;0.319043371;7.417508797;0.356742738;1.453463652;4.325434387;1.366294438;1.760650312;9.93490251;7.23803633;4.723053758;54.97368308
C43o2;C;43;o;2;0;4;0;3.119434183;0.342462443;0.24858084;1.51533832;5.956172269;0;0.717611747;0.564328593;7.230571974;0.219363379;1.267825699;3.575021549;0.816260313;0.673334565;4.207315909;3.323380741;1.037207548;34.81421007
C43o3;C;43;o;3;0;4;0;2.874459427;0.846933675;0.604498979;1.615685305;1.380623044;0;1.526947149;0.368765755;1.054108897;0.37133823;1.727046027;0.819334579;1.573938956;1.219260692;3.687366894;0.253501499;1.060036183;20.98384529
C45o1;C;45;o;1;0;3;0;1.962819302;0;0;1.195585505;0;0;0.265646887;0;0.679907205;0;0.949937873;0.474681571;0.381961346;0;3.250880712;0;0.434252593;9.595672994
C45o2;C;45;o;2;0;3;0;3.858796413;4.331449049;1.556968769;2.698581739;0;0.58866513;1.752609117;0.3985823;2.34584476;1.039222284;6.666201203;1.373559448;3.307379554;1.832422035;6.306072893;0;1.141915802;39.1982705
C45o3;C;45;o;3;0;3;0;6.292767733;5.220129702;1.453164925;3.928008862;0;0.706924993;4.120362584;0.658310962;4.522851506;1.487021703;9.176456319;3.406766504;6.203617751;3.69636446;21.8545137;0.66824886;3.642688489;77.03819905
C50o1;C;50;o;1;0;3;0;23.09339814;31.15349536;8.59727795;9.108228016;97.84710561;7.671904551;9.878073354;4.764100751;89.84205038;4.175678303;13.81279717;52.5449757;11.11289439;14.9213787;36.70771542;33.04217411;7.055006628;455.3282545
C50o2;C;50;o;2;0;4;0;10.46510372;11.67093401;2.399747104;4.353562763;29.98736885;1.435562694;2.875581832;2.054441065;65.9352312;1.559885171;5.981545402;23.08685281;5.731362565;6.136304296;32.54141007;13.55845665;3.641864598;223.4152148
C50o3;C;50;o;3;0;4;0;2.005477017;0;0;1.079531744;0;0;0.303611908;0.279399984;0.469803315;0;1.122435694;0.349316737;0.454276654;0.141735844;0.801827492;0;0.245288498;7.252704886
C55o1;C;55;o;1;0;3;0;7.119775813;1.4834594;0.98949239;4.289250889;10.63422036;2.00493484;1.947530302;0.999749385;7.260389137;0.903540509;0.727175795;5.356283605;5.924245876;5.40047389;7.518490841;4.837669735;1.849079559;69.24576233
C55o2;C;55;o;2;0;3;0;19.98525783;3.3110413;0.942042755;12.98369474;41.05594974;5.217730442;5.049007739;2.897678339;17.52190637;2.249651368;16.58807754;19.93479427;11.06379588;13.37848441;19.00521033;20.69278982;4.442218987;216.3193319
C55o3;C;55;o;3;0;3;0;2.486267988;1.540611588;0.464921852;1.11180509;0;0;0.880832876;0;1.22839613;0;2.98592058;1.221385266;1.695505271;1.147639509;4.651059656;0;1.41328728;20.82763309
C61o1;C;61;o;1;0;4;0;4.590632177;3.129391022;1.079118432;1.54639137;14.49407261;0.842375594;2.366685999;0.982948614;7.660503422;1.045934346;2.420540541;5.922663264;1.881563624;1.368166106;3.58998724;3.812676024;1.111198237;57.84484863
C61o2;C;61;o;2;0;4;0;2.776275077;1.661065471;0.529351518;1.080056886;4.138565572;0.181964295;0.900671588;0.600378829;4.366840759;0.2986269;0.876078567;1.806300651;0.544177667;0.397964567;1.51736967;0.920970394;0.263122499;22.85978091
C61o3;C;61;o;3;0;4;0;0.824168494;0.387275843;0.139037715;0.423069645;1.672826886;0.094210924;0.301484678;0.195431076;1.764517674;0.140587853;0.293298628;0.804114948;0.211599454;0.150109978;0.610679713;0.304357448;0.107725765;8.424496722
C64o1;C;64;o;1;0;3;0;1.201781793;0.915830917;0.269703706;0.888381805;2.107836408;0.369020423;0.570727093;0.36886164;3.645382806;0.25996838;2.314767578;1.528686943;1.398699339;0.892624577;2.022680476;0.469175451;0.363012249;19.58714158
C64o2;C;64;o;2;0;4;0;5.780850322;1.170270131;0;2.793491486;4.009145279;1.337524206;1.064131198;0.878997846;8.958215043;0.145450495;6.620199585;4.334136854;2.592712338;2.25128668;9.602743013;1.208353564;2.146730034;54.89423807
C64o3;C;64;o;3;0;3;0;5.39190218;4.802422425;1.462279386;5.092675049;12.38979121;5.559580113;4.043626716;2.029888107;23.65696159;1.347560272;15.05930326;11.86027223;8.433867805;3.981116622;12.41973699;3.910658669;2.797104626;124.2387473
