ID;population;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;(E)-2-Methyl-2-butenal;?-pinene;?-pinene;5-Methyl-2-heptanone;6-Methyl-5-heptene-2-one;butanoic acid, butyl ester;2-Ethyl-1-hexanol;acetophenone ;nonanal ;cis-2-nonenal;dodecane;decanal;tridecane;tetradecane;dodecanal;trans-geranylaceone;tetradecanal;Sum
C43h2;C;43;h;2;0.0378;4;26;6.843383325;2.200002914;0.89798223;3.138322326;1.168401266;0.387871524;1.638681146;0;1.787403783;0.341585583;1.866701152;1.089242325;1.427006568;0.936119135;3.022745901;0.25124312;0.756556204;27.7532485
C43h3;C;43;h;3;0.0336;4;15;2.571646291;1.084416541;0.473237326;1.231837642;6.344997368;0.490529989;0.691548223;0.340515448;5.437313867;0.280623383;2.503574492;3.399104352;1.346550855;1.462131001;2.557081433;2.924517849;0.619138073;33.75876413
C45h1;C;45;h;1;0.025;3;9;0.984995975;0;0;0.807004571;0;0;0;0.296839943;0.27972223;0;0.526828056;0.218836677;0.226326071;0;0.881061866;0;0.21624599;4.437861377
C45h2;C;45;h;2;0.0294;3;12;2.735947905;2.522279019;0.415198371;1.418343762;0;0.593330028;1.128934252;0;1.47907092;0.621122694;4.320002546;0.907973015;2.376756931;1.496017177;4.215866306;0;0.989723045;25.22056597
C45h3;C;45;h;3;0.02;3;8;5.106339928;7.38533565;1.596089345;1.833924752;1.247946238;0.682347365;2.507935543;1.441443467;3.165978028;1.488923051;12.24781864;2.095767305;6.518046374;4.472796763;16.78828626;1.122356844;3.217322088;72.91865764
C50h1;C;50;h;1;0.0305;4;16;10.07895031;13.64879046;3.526745264;2.303064774;42.29255735;2.766364419;3.831374973;1.653754858;37.72397309;1.957371961;11.26461209;20.41278775;7.63777674;12.9930104;19.48729312;21.15375815;7.295864758;220.0280505
C50h2;C;50;h;2;0.0343;3;45;16.00917932;15.18267038;4.136656857;5.617762273;48.93510164;6.651137183;5.099637505;2.495975522;35.87233732;2.022139502;10.81744655;23.71241059;8.766843367;16.24099121;24.8492526;21.92886516;5.998372669;254.3367796
C55h1;C;55;h;1;0.0344;2;5;12.91258923;2.841666879;1.758961008;7.992683155;25.27235679;4.289525851;5.037868926;1.643856828;14.96198644;1.7947625;10.14584344;12.83433302;6.990224355;7.15354314;8.833039809;10.58293984;2.67261373;137.7187949
C55h2;C;55;h;2;0.0275;3;55;7.352532875;1.629361079;0.594566309;3.536512451;10.66858615;7.620814913;2.369268531;1.275439041;8.613047804;1.323097645;8.872577178;3.305418673;12.51783384;32.4174293;15.02841682;10.20253616;4.701170463;132.0286092
C55h3;C;55;h;3;0.0368;3;2;5.409532572;4.988181526;0;3.008048531;0;0;2.520207347;1.509159318;3.605816485;1.129195371;8.171682038;2.56683048;5.285438593;3.823426011;9.852097031;0;1.767789422;53.63740472
C61h1;C;61;h;1;0.0305;4;17;1.665164233;2.367718285;0.86855202;0.485305737;8.183011298;0.191582096;1.547068843;0.589520076;3.771359014;0.401560239;1.387540661;2.144474772;0.90372282;0.678450125;3.067358111;2.345966774;0.726342442;31.32469755
C61h2;C;61;h;2;0.0375;4;18;1.836575536;0.871459885;0.346150327;0.738273792;3.951493825;0;0.512367785;0.279291083;2.836615049;0.223235714;0.706259385;1.595015868;0.474665485;0.361494117;1.255339547;0.821882682;0.407436061;17.21755614
C61h3;C;61;h;3;0.0341;4;7;3.198460175;1.956229185;0.674899568;1.271709701;6.832412207;0.660347898;1.48291257;0.994704853;7.637709749;0.481670647;1.815720116;3.300617368;1.373942768;1.073053854;3.70679424;2.267648492;0.957515035;39.68634843
C64h1;C;64;h;1;0.0309;4;12;10.48390382;4.512317779;1.231563527;3.356215164;15.06338431;3.095549879;3.874732028;2.15124339;23.75769973;0.877358153;12.33424146;11.07151279;5.758968129;4.974292554;25.31289303;5.830856081;5.862914463;139.5496463
C64h2;C;64;h;2;0.0364;4;26;1.164267989;0.736141314;0.174125795;0.421408184;1.459090928;0.605580883;0.41876217;0.28271102;6.037119558;0.204409018;1.564065461;1.332909916;0.880970488;0.724563805;2.636839747;0.3793008;0.537968448;19.56023552
C64h3;C;64;h;3;0.0324;3;10;1.305668879;0.906161769;0.349626807;0.508080772;2.22393338;0.645634973;0.492808545;0.308147752;4.209638601;0.206179075;1.473240353;1.344707519;0.815948109;0.641366248;1.409699811;0.466513587;0.258597538;17.56595372
