ID;population;Gen;Treat;H_E;GLVs;Monoterpenes;Aromatic compounds ;Long-chain alkanes;Alcohols and esters;GLVsg;Monoterpenesg;Aromatic compoundsg;Long-chain alkanesg;Alcohols and estersg
C26h2;C;26;h;4;5.587892039;4.569841247;0.757837122;6.397015056;1.501096868;5.588892039;4.570841247;0.758837122;6.398015056;1.502096868
C26h3;C;26;h;3;1.763677191;0;0.290422583;1.42360321;0.704953612;1.764677191;0.001;0.291422583;1.42460321;0.705953612
C30h1;C;30;h;3;13.82747511;31.41940541;2.825875977;18.95065541;6.22082178;13.82847511;31.42040541;2.826875977;18.95165541;6.22182178
C30h2;C;30;h;3;4.798153568;9.384495837;0.703973221;5.713429049;1.501478919;4.799153568;9.385495837;0.704973221;5.714429049;1.502478919
C30h3;C;30;h;4;5.005540247;0.414344181;0.519091469;2.166038811;1.22242957;5.006540247;0.415344181;0.520091469;2.167038811;1.22342957
C34h1;C;34;h;4;2.621025873;3.392713841;0.534023055;2.373495332;1.005252263;2.622025873;3.393713841;0.535023055;2.374495332;1.006252263
C34h2;C;34;h;4;3.426996731;3.268759714;0.38843078;2.563427247;1.611834855;3.427996731;3.269759714;0.38943078;2.564427247;1.612834855
C34h3;C;34;h;4;4.109546456;8.220981578;1.386972731;2.144751206;1.306999022;4.110546456;8.221981578;1.387972731;2.145751206;1.307999022
C43h2;C;43;h;4;6.843383325;0.25124312;0;1.427006568;1.638681146;6.844383325;0.25224312;0.001;1.428006568;1.639681146
C43h3;C;43;h;4;2.571646291;2.924517849;0.340515448;1.346550855;0.691548223;2.572646291;2.925517849;0.341515448;1.347550855;0.692548223
C45h1;C;45;h;3;0.984995975;0;0.296839943;0.226326071;0;0.985995975;0.001;0.297839943;0.227326071;0.001
C45h2;C;45;h;3;2.735947905;0;0;2.376756931;1.128934252;2.736947905;0.001;0.001;2.377756931;1.129934252
C45h3;C;45;h;3;5.106339928;1.122356844;1.441443467;6.518046374;2.507935543;5.107339928;1.123356844;1.442443467;6.519046374;2.508935543
C50h1;C;50;h;4;10.07895031;21.15375815;1.653754858;7.63777674;3.831374973;10.07995031;21.15475815;1.654754858;7.63877674;3.832374973
C50h2;C;50;h;3;16.00917932;21.92886516;2.495975522;8.766843367;5.099637505;16.01017932;21.92986516;2.496975522;8.767843367;5.100637505
C55h1;C;55;h;2;12.91258923;10.58293984;1.643856828;6.990224355;5.037868926;12.91358923;10.58393984;1.644856828;6.991224355;5.038868926
